,제목,정보제공,날짜
19,"간편 복용법 빠른 통증 완화, 동화약품 '모가프텐'",아시아경제,2021.04.21 11:00
20,"동화약품, 6가지 복합성분 무좀약 '바르지오 모두 크림' 출시",머니투데이,2021.04.19 14:25
21,"연관기사 목록  동화약품, 6가지 복합 성분 무좀치료제 '바르지오 모두 크림' 출시  파이낸셜뉴스  2021.04.19 13:30","연관기사 목록  동화약품, 6가지 복합 성분 무좀치료제 '바르지오 모두 크림' 출시  파이낸셜뉴스  2021.04.19 13:30","연관기사 목록  동화약품, 6가지 복합 성분 무좀치료제 '바르지오 모두 크림' 출시  파이낸셜뉴스  2021.04.19 13:30"
22,"동화약품, 6가지 복합 성분 무좀치료제 '바르지오 모두 크림' 출시",파이낸셜뉴스,2021.04.19 13:30
23,"동화약품, 프랑스 저항성 고혈압 치료제 국내 도입",서울경제,2021.04.01 16:28
24,"연관기사 목록  동화약품, 저항성 고혈압 치료제 국내 독점 권리 확보  한국경제  2021.04.01 15:39  동화약품, 저항성 고혈압 치료 후보 피리바스타트 개발·상업화 권리 도...  매일경제  2021.04.01 15:34  동화약품, 佛 바이오社와 저항성 고혈압약 독점 판매 계약  머니투데이  2021.04.01 15:02  동화약품, 저항성 고혈압 치료제 국내 독점 라이센스 계약  파이낸셜뉴스  2021.04.01 14:07  관련뉴스 3건 더보기","연관기사 목록  동화약품, 저항성 고혈압 치료제 국내 독점 권리 확보  한국경제  2021.04.01 15:39  동화약품, 저항성 고혈압 치료 후보 피리바스타트 개발·상업화 권리 도...  매일경제  2021.04.01 15:34  동화약품, 佛 바이오社와 저항성 고혈압약 독점 판매 계약  머니투데이  2021.04.01 15:02  동화약품, 저항성 고혈압 치료제 국내 독점 라이센스 계약  파이낸셜뉴스  2021.04.01 14:07  관련뉴스 3건 더보기","연관기사 목록  동화약품, 저항성 고혈압 치료제 국내 독점 권리 확보  한국경제  2021.04.01 15:39  동화약품, 저항성 고혈압 치료 후보 피리바스타트 개발·상업화 권리 도...  매일경제  2021.04.01 15:34  동화약품, 佛 바이오社와 저항성 고혈압약 독점 판매 계약  머니투데이  2021.04.01 15:02  동화약품, 저항성 고혈압 치료제 국내 독점 라이센스 계약  파이낸셜뉴스  2021.04.01 14:07  관련뉴스 3건 더보기"
25,"동화약품, 저항성 고혈압 치료제 국내 독점 권리 확보",한국경제,2021.04.01 15:39
26,"동화약품, 저항성 고혈압 치료 후보 피리바스타트 개발·상업화 권리 도...",매일경제,2021.04.01 15:34
27,"동화약품, 佛 바이오社와 저항성 고혈압약 독점 판매 계약",머니투데이,2021.04.01 15:02
28,"동화약품, 저항성 고혈압 치료제 국내 독점 라이센스 계약",파이낸셜뉴스,2021.04.01 14:07
